Sexe,Prénom,Nom,Email,Téléphone,Ville,Domaine,Niveau d'expérience,Formation,Expériences,Langues,Compétences
m,roland,merle,roland.merle@noos.fr,+33 (0)2 76 36 73 70,saint victor,marketing,expert,licence - chauvet (2021),guérin bodin s.a.s. | responsable marketing | 2015 - 2024,"allemand, portugais","community management, communication, analytics, stratégie digitale, seo"
f,dorothée,besnard,dorothée.besnard@noos.fr,+33 (0)3 28 81 68 24,mahe-les-bains,journalisme,débutant,licence - payet (2017),joubert | adjoint journalisme | 2023 - 2023,"anglais, allemand, arabe","rédaction d'articles, reportages, techniques d'interview, storytelling et narration visuelle"
f,noémi,étienne,noémi.étienne@tiscali.fr,+33 (0)6 28 66 07 30,loiseau,logistique,senior,bts - léger (2014),maréchal | directeur logistique | 2022 - 2024,chinois,"règlementations en transport et logistique, chaîne d'approvisionnement, gestion des fournisseurs, gestion de stocks"
m,michel,jacquot,michel.jacquot@tiscali.fr,+33 3 69 37 15 52,saint alexandrie-sur-mer,santé,intermédiaire,école d'ingénieur - lagarde (2020),gallet s.a. | responsable santé | 2018 - 2020 | weiss morin sa | chargé santé | 2015 - 2018,"français, portugais, anglais","analyse médicale, recherche, diagnostic, gestion de patient"
m,christophe,lecoq,christophe.lecoq@yahoo.fr,06 55 83 66 64,françois,journalisme,senior,master - hamon (2023),laurent | responsable journalisme | 2017 - 2021,"espagnol, italien","storytelling et narration visuelle, techniques d'interview, reportages"
f,diane,pages,diane.pages@voila.fr,+33 (0)4 57 24 92 85,gauthier,assistance virtuelle,junior,licence - roche s.a. (2018),françois da costa s.a. | directeur assistance virtuelle | 2017 - 2022,"français, italien, portugais","service client, gestion de projets, traitement d'e-mails"
f,geneviève,dubois,geneviève.dubois@club-internet.fr,04 92 99 18 07,sainte thomas,finance & comptabilité,débutant,bts - menard rolland s.a. (2018),muller | chargé finance & comptabilité | 2015 - 2019 | arnaud guillon sa | adjoint finance & comptabilité | 2024 - 2024,chinois,"excel, audit, gestion de projet, analyse financière"
f,alexandrie,lombard,alexandrie.lombard@club-internet.fr,04 70 81 83 71,blin,ingénierie,senior,bts - chartier wagner sarl (2010),jean | adjoint ingénierie | 2016 - 2019 | gauthier antoine sarl | responsable ingénierie | 2020 - 2024,chinois,"mathématiques, robotique, gestion de projet, cao, innovation, descentes"
f,capucine,tessier,capucine.tessier@tele2.fr,+33 (0)2 33 90 69 71,leleu,géologie,intermédiaire,master - bodin et fils (2019),cordier et fils | directeur géologie | 2019 - 2020 | chevallier | responsable géologie | 2021 - 2023 | regnier | responsable géologie | 2016 - 2022,"anglais, espagnol, italien","sondage et forage, stratigraphie et tectonique, analyse géochimique, logiciels de cartographie"
f,alexandria,hoarau,alexandria.hoarau@tiscali.fr,0495364117,noël-sur-mer,ressources humaines,débutant,master - pineau s.a.r.l. (2023),lefèvre | chargé ressources humaines | 2024 - 2024 | pineau | responsable ressources humaines | 2015 - 2022,"français, portugais, allemand","formation, gestion d'équipe, droit du travail, recrutement"
m,zacharie,louis,zacharie.louis@laposte.net,+33 2 49 76 27 42,chauvet,economie,débutant,bts - fouquet normand s.a.s. (2011),allard sa | directeur economie | 2017 - 2017,"français, italien, portugais","analyse de données économiques, rédaction de rapports économiques, statistiques"
f,marianne,delorme,marianne.delorme@orange.fr,+33 2 30 92 18 05,lagarde-sur-benoit,ingénierie,senior,dut - morin sa (2014),berger nicolas et fils | chargé ingénierie | 2023 - 2024 | martineau s.a. | responsable ingénierie | 2021 - 2022 | giraud fouquet s.a.s. | chargé ingénierie | 2017 - 2018,"français, anglais, chinois","innovation, robotique, analyse technique, mathématiques, gestion de projet, cao"
m,adrien,teixeira,adrien.teixeira@tele2.fr,+33 7 37 79 00 20,rivière-sur-alexandre,communication,expert,école de commerce - carlier (2014),guichard | chargé communication | 2019 - 2024 | boucher | directeur communication | 2021 - 2024,"espagnol, italien, arabe","maîtrise des réseaux sociaux, gestion de crise et communication d'urgence, edition de contenu"
f,véronique,lefèvre,véronique.lefèvre@free.fr,+33 4 75 00 76 29,bonneaudan,design,expert,école d'ingénieur - bernard (2018),pottier bouvier sa | responsable design | 2015 - 2016,"italien, portugais","illustrator, design thinking, ui/ux, photoshop"
f,odette,moreau,odette.moreau@wanadoo.fr,+33 5 34 93 07 04,traore,communication,intermédiaire,école de commerce - vidal (2012),richard | chargé communication | 2023 - 2023 | couturier | adjoint communication | 2022 - 2023,"arabe, anglais, français","outils de communication, maîtrise des réseaux sociaux, edition de contenu, gestion de crise et communication d'urgence"
f,nicole,vincent,nicole.vincent@free.fr,0251918908,thomas,economie,junior,doctorat - samson (2013),henry | responsable economie | 2023 - 2023 | perrot | directeur economie | 2024 - 2024 | gillet sa | directeur economie | 2017 - 2024,"portugais, chinois","politiques monétaires et fiscales, rédaction de rapports économiques, statistiques, analyse de données économiques"
m,jules,boulanger,jules.boulanger@dbmail.com,+33 (0)4 71 24 13 73,charrier,communication,intermédiaire,doctorat - marin s.a. (2016),clerc pons s.a.s. | chargé communication | 2017 - 2019,"français, allemand","gestion de crise et communication d'urgence, outils de communication, edition de contenu"
m,vincent,lenoir,vincent.lenoir@voila.fr,05 63 81 34 35,devaux,santé,junior,licence - gauthier delaunay et fils (2017),loiseau s.a. | responsable santé | 2022 - 2023 | cohen | adjoint santé | 2017 - 2023,portugais,"recherche, analyse médicale, diagnostic, gestion de patient"
f,lucy,mathieu,lucy.mathieu@dbmail.com,+33 3 87 14 01 13,delahaye-sur-jacquet,éducation,expert,licence - joly s.a.r.l. (2015),michaud marin s.a. | responsable éducation | 2017 - 2020 | allain pasquier sa | responsable éducation | 2019 - 2023,"chinois, italien, anglais","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,maurice,faure,maurice.faure@noos.fr,+33 2 29 22 04 43,sainte anaïs-la-forêt,marketing,junior,doctorat - jean (2010),brunel | directeur marketing | 2015 - 2018 | laine charles sa | responsable marketing | 2022 - 2023 | ramos | chargé marketing | 2019 - 2021,italien,"seo, analytics, stratégie digitale"
f,clémence,blanchard,clémence.blanchard@dbmail.com,+33 6 99 81 04 30,petitjean,géologie,débutant,master - rodrigues (2019),prévost vallet sa | chargé géologie | 2017 - 2021 | texier s.a.r.l. | chargé géologie | 2021 - 2021,"allemand, espagnol","stratigraphie et tectonique, analyse géochimique, logiciels de cartographie, sondage et forage"
f,diane,mallet,diane.mallet@yahoo.fr,02 38 04 48 71,michaudnec,economie,expert,dut - caron (2014),lefort | responsable economie | 2020 - 2023 | moulin roy sarl | directeur economie | 2021 - 2023,"arabe, chinois, italien","politiques monétaires et fiscales, statistiques, analyse de données économiques, rédaction de rapports économiques"
m,marcel,blot,marcel.blot@sfr.fr,+33 (0)4 75 85 16 05,sainte bernard,ingénierie,débutant,dut - dubois (2014),poirier | adjoint ingénierie | 2016 - 2021 | diaz gaillard sarl | responsable ingénierie | 2022 - 2023,"espagnol, italien, français","innovation, robotique, cao, mathématiques, analyse technique, gestion de projet"
f,olivie,hoareau,olivie.hoareau@ifrance.com,+33 3 23 16 03 62,lemaire,design,débutant,doctorat - guillot (2016),alves | responsable design | 2018 - 2021 | peltier s.a. | responsable design | 2015 - 2015,"espagnol, italien, anglais","photoshop, ui/ux, illustrator, design thinking"
f,bernadette,andre,bernadette.andre@bouygtel.fr,+33 (0)3 57 40 47 23,marionbourg,géologie,débutant,formation professionnelle - lagarde sarl (2013),lopes nguyen s.a.r.l. | adjoint géologie | 2024 - 2024 | turpin | adjoint géologie | 2023 - 2024 | bouchet sa | responsable géologie | 2019 - 2022,"espagnol, anglais, allemand","logiciels de cartographie, stratigraphie et tectonique, sondage et forage"
m,gérard,didier,gérard.didier@ifrance.com,+33 1 46 33 89 42,lefebvre,éducation,intermédiaire,dut - gaillard s.a. (2012),buisson | directeur éducation | 2017 - 2022 | valette | chargé éducation | 2024 - 2024 | étienne blanchet s.a.r.l. | chargé éducation | 2022 - 2023,"espagnol, français","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
f,agathe,lemonnier,agathe.lemonnier@wanadoo.fr,0470103669,hoarau-sur-morel,design,intermédiaire,doctorat - renard jourdan et fils (2019),coulon et fils | directeur design | 2021 - 2021,"arabe, allemand, italien","photoshop, ui/ux, design thinking, illustrator"
m,andré,cordier,andré.cordier@tiscali.fr,+33 4 98 97 97 39,gaudinbourg,commercial,senior,dut - lefort (2022),grégoire | directeur commercial | 2023 - 2024 | evrard bouvier s.a.r.l. | directeur commercial | 2017 - 2021,"chinois, espagnol, allemand","prospection, négociation, stratégie commerciale, relation client"
f,nathalie,godard,nathalie.godard@orange.fr,06 58 10 86 86,boulanger-les-bains,assistance virtuelle,débutant,dut - ruiz (2017),rousset | responsable assistance virtuelle | 2023 - 2023 | duval | chargé assistance virtuelle | 2024 - 2024,"arabe, anglais","gestion de projets, gestion d'agenda et de calendriers, service client, traitement d'e-mails"
f,anastasie,étienne,anastasie.étienne@tiscali.fr,+33 (0)2 51 93 22 68,lacroix-sur-laporte,economie,expert,doctorat - dupont (2021),guyot noël s.a. | responsable economie | 2018 - 2023 | turpin sa | responsable economie | 2017 - 2017,"anglais, chinois","rédaction de rapports économiques, analyse de données économiques, politiques monétaires et fiscales, statistiques"
f,anouk,carre,anouk.carre@yahoo.fr,+33 4 95 94 66 58,morin,ressources humaines,senior,formation professionnelle - rocher (2017),lesage bertin s.a.r.l. | directeur ressources humaines | 2016 - 2020 | dupuis s.a.r.l. | chargé ressources humaines | 2018 - 2023 | clerc | responsable ressources humaines | 2019 - 2023,"français, allemand, espagnol","droit du travail, recrutement, formation"
m,henri,laporte,henri.laporte@ifrance.com,+33 (0)3 54 27 49 22,bousquet,finance & comptabilité,intermédiaire,bts - renard (2020),barre cohen s.a. | responsable finance & comptabilité | 2017 - 2018 | lecomte s.a.r.l. | directeur finance & comptabilité | 2015 - 2018 | poirier et fils | directeur finance & comptabilité | 2021 - 2023,arabe,"gestion de projet, excel, audit, comptabilité, analyse financière"
f,chantal,teixeira,chantal.teixeira@live.com,+33 1 56 43 60 92,saint franck-les-bains,géologie,junior,master - traore (2017),perrin | directeur géologie | 2020 - 2021 | raymond | responsable géologie | 2019 - 2022 | caron | chargé géologie | 2016 - 2024,français,"logiciels de cartographie, stratigraphie et tectonique, sondage et forage, analyse géochimique"
m,marcel,mace,marcel.mace@dbmail.com,06 38 54 30 53,saint alphonsedan,communication,junior,doctorat - lopes sa (2023),renault s.a.r.l. | responsable communication | 2019 - 2024,"anglais, espagnol, allemand","maîtrise des réseaux sociaux, edition de contenu, outils de communication"
m,benjamin,martel,benjamin.martel@tele2.fr,+33 (0)6 30 39 87 73,sainte philippe,éducation,junior,école d'ingénieur - alexandre sa (2016),marty | chargé éducation | 2020 - 2021 | pascal | directeur éducation | 2017 - 2018 | normand | directeur éducation | 2018 - 2022,"allemand, français, arabe","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
f,jacqueline,fouquet,jacqueline.fouquet@bouygtel.fr,03 88 80 67 03,dijouxville,journalisme,intermédiaire,dut - gomes (2020),lemaire delaunay sa | directeur journalisme | 2019 - 2024 | valentin | responsable journalisme | 2020 - 2022 | delmas | adjoint journalisme | 2022 - 2023,anglais,"reportages, storytelling et narration visuelle, rédaction d'articles, techniques d'interview"
f,michelle,leleu,michelle.leleu@bouygtel.fr,0169881714,petitjean,ingénierie,débutant,licence - ramos s.a. (2010),monnier | adjoint ingénierie | 2015 - 2021,arabe,"analyse technique, innovation, robotique"
m,robert,guillou,robert.guillou@gmail.com,+33 1 81 79 66 54,sainte zacharie-les-bains,journalisme,intermédiaire,dut - bazin bigot s.a. (2016),cordier pons s.a.r.l. | responsable journalisme | 2019 - 2020 | camus lesage s.a. | directeur journalisme | 2016 - 2022 | joly | directeur journalisme | 2020 - 2022,"français, italien","storytelling et narration visuelle, reportages, techniques d'interview, rédaction d'articles"
f,céline,carre,céline.carre@gmail.com,+33 2 57 59 49 17,saint gabrielbourg,météorologie,senior,master - delattre (2014),salmon cousin s.a. | adjoint météorologie | 2019 - 2024,allemand,"logiciels d'analyse climatique, cartes météorologiques, modèles de prévision"
f,geneviève,bouvet,geneviève.bouvet@hotmail.fr,+33 5 18 05 81 49,sanchezbourg,ingénierie,expert,formation professionnelle - lelièvre (2011),bigot et fils | adjoint ingénierie | 2017 - 2018,"italien, arabe, anglais","robotique, innovation, analyse technique, mathématiques, cao, gestion de projet"
f,gabrielle,rémy,gabrielle.rémy@live.com,+33 4 95 87 22 27,delaunay,météorologie,expert,doctorat - boyer pierre sarl (2012),fischer | directeur météorologie | 2023 - 2023 | labbé briand s.a.s. | directeur météorologie | 2022 - 2022,français,"modèles de prévision, cartes météorologiques, logiciels d'analyse climatique"
f,agathe,legros,agathe.legros@laposte.net,02 45 06 04 38,cousin,géologie,junior,licence - rey (2021),foucher traore sarl | responsable géologie | 2014 - 2023,chinois,"logiciels de cartographie, sondage et forage, analyse géochimique, stratigraphie et tectonique"
f,gabrielle,diaz,gabrielle.diaz@free.fr,0279979398,boucher-les-bains,economie,senior,école d'ingénieur - ferrand (2024),didier mathieu s.a. | responsable economie | 2022 - 2022 | martins s.a.s. | adjoint economie | 2024 - 2024 | nguyen et fils | directeur economie | 2019 - 2020,"allemand, chinois, espagnol","statistiques, rédaction de rapports économiques, politiques monétaires et fiscales, analyse de données économiques"
m,paul,loiseau,paul.loiseau@laposte.net,0646994354,barbier,assistance virtuelle,expert,école d'ingénieur - faure rousseau sarl (2013),de sousa s.a. | directeur assistance virtuelle | 2021 - 2021,"espagnol, portugais","traitement d'e-mails, service client, gestion d'agenda et de calendriers, gestion de projets"
f,christelle,nicolas,christelle.nicolas@tele2.fr,+33 4 77 75 82 39,langlois,design,junior,bts - lemaître moreau s.a. (2012),monnier leduc s.a. | directeur design | 2022 - 2023 | merle | directeur design | 2017 - 2020,"français, portugais, arabe","photoshop, design thinking, ui/ux, illustrator"
m,olivier,moreno,olivier.moreno@bouygtel.fr,0581397152,saint nath,météorologie,junior,licence - georges (2010),coste guyot s.a. | directeur météorologie | 2022 - 2023,espagnol,"logiciels d'analyse climatique, instruments de mesure météorologique, cartes météorologiques"
f,alexandrie,bruneau,alexandrie.bruneau@noos.fr,05 33 17 89 47,barbier-les-bains,météorologie,intermédiaire,école d'ingénieur - diaz (2010),grondin | chargé météorologie | 2018 - 2023 | brunel | directeur météorologie | 2017 - 2019,"allemand, chinois, portugais","logiciels d'analyse climatique, modèles de prévision, cartes météorologiques, instruments de mesure météorologique"
m,andré,colas,andré.colas@live.com,0495706366,roy-sur-bernier,ingénierie,débutant,formation professionnelle - hubert et fils (2011),mace rousset sarl | responsable ingénierie | 2018 - 2021 | peron guibert sa | adjoint ingénierie | 2018 - 2019 | jacques sa | responsable ingénierie | 2024 - 2024,"français, portugais, chinois","innovation, cao, robotique"
f,catherine,allain,catherine.allain@hotmail.fr,02 51 81 92 75,roussetnec,logistique,débutant,formation professionnelle - michel et fils (2020),bertrand | chargé logistique | 2016 - 2017 | voisin | directeur logistique | 2022 - 2023 | lecoq sa | responsable logistique | 2023 - 2023,"anglais, espagnol, allemand","chaîne d'approvisionnement, règlementations en transport et logistique, gestion de stocks"
f,marie,royer,marie.royer@wanadoo.fr,+33 2 79 95 53 91,lefèvre,marketing,junior,école de commerce - peron guillon sarl (2016),potier s.a.r.l. | chargé marketing | 2014 - 2024 | godard | chargé marketing | 2015 - 2015 | collin camus s.a.r.l. | chargé marketing | 2015 - 2021,"italien, allemand","stratégie digitale, analytics, community management"
m,grégoire,laroche,grégoire.laroche@free.fr,+33 (0)2 51 86 14 72,bouvet-la-forêt,communication,intermédiaire,école d'ingénieur - lelièvre s.a. (2023),martins | adjoint communication | 2020 - 2023 | mace | adjoint communication | 2022 - 2023,français,"maîtrise des réseaux sociaux, edition de contenu, gestion de crise et communication d'urgence, outils de communication"
m,thibault,teixeira,thibault.teixeira@laposte.net,+33 (0)3 70 24 29 69,chartier-sur-lopez,santé,junior,master - lemoine (2023),grondin s.a.r.l. | directeur santé | 2018 - 2023,"italien, français","analyse médicale, diagnostic, recherche, gestion de patient"
f,véronique,lévy,véronique.lévy@club-internet.fr,04 78 43 19 98,sainte anastasie,marketing,intermédiaire,master - poulain (2024),barre diallo s.a.r.l. | adjoint marketing | 2020 - 2021 | chartier | directeur marketing | 2023 - 2023 | perez s.a.r.l. | adjoint marketing | 2021 - 2023,"portugais, chinois, espagnol","stratégie digitale, community management, communication, seo"
f,madeleine,martinez,madeleine.martinez@live.com,+33 (0)4 83 88 77 60,marchal,ingénierie,intermédiaire,master - auger s.a.r.l. (2024),perrin | responsable ingénierie | 2020 - 2020,"portugais, italien","innovation, gestion de projet, descentes, analyse technique, cao, mathématiques"
m,alexandre,dubois,alexandre.dubois@ifrance.com,+33 2 29 14 78 97,neveu,journalisme,senior,dut - klein monnier s.a.r.l. (2012),collin s.a.r.l. | directeur journalisme | 2022 - 2023,"chinois, espagnol, anglais","reportages, rédaction d'articles, techniques d'interview, storytelling et narration visuelle"
m,georges,weiss,georges.weiss@hotmail.fr,+33 (0)3 79 99 98 52,vaillantville,ressources humaines,intermédiaire,bts - camus schmitt s.a.s. (2014),lebrun bègue s.a. | adjoint ressources humaines | 2020 - 2022 | fernandes s.a.s. | adjoint ressources humaines | 2018 - 2018,"chinois, italien, espagnol","formation, droit du travail, gestion d'équipe, recrutement"
f,élodie,dos santos,élodie.dos santos@hotmail.fr,+33 1 73 67 37 54,sainte astridville,finance & comptabilité,intermédiaire,école d'ingénieur - leblanc (2017),rivière jacob s.a. | chargé finance & comptabilité | 2017 - 2018 | perrot françois sa | directeur finance & comptabilité | 2022 - 2024 | berthelot marchand sa | chargé finance & comptabilité | 2016 - 2023,"allemand, arabe","gestion de projet, comptabilité, excel, analyse financière, audit"
m,jacques,fabre,jacques.fabre@ifrance.com,+33 2 53 58 32 81,teixeira,informatique,intermédiaire,master - besnard (2010),samson | directeur informatique | 2022 - 2023,"français, allemand","flutter, cybersécurité, angularjs, reactjs, tensorflow"
f,alexandria,wagner,alexandria.wagner@laposte.net,+33 (0)4 80 78 00 73,hamon,éducation,expert,formation professionnelle - robert (2018),le goff | directeur éducation | 2016 - 2024,"italien, espagnol, chinois","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
f,emmanuelle,richard,emmanuelle.richard@live.com,+33 (0)3 61 91 47 84,sainte édithnec,finance & comptabilité,intermédiaire,licence - moreau (2012),devaux | responsable finance & comptabilité | 2022 - 2023,espagnol,"excel, analyse financière, gestion de projet, audit, comptabilité"
f,élisabeth,ramos,élisabeth.ramos@yahoo.fr,+33 (0)3 75 73 75 69,bodinbourg,ressources humaines,débutant,formation professionnelle - bonnin sa (2023),charrier | adjoint ressources humaines | 2022 - 2023 | charrier sarl | directeur ressources humaines | 2021 - 2023,arabe,"formation, recrutement, gestion d'équipe"
f,danielle,mallet,danielle.mallet@free.fr,02 44 57 93 88,leduc,communication,junior,doctorat - regnier jacquet s.a.s. (2011),pasquier | chargé communication | 2016 - 2022,"français, espagnol","outils de communication, maîtrise des réseaux sociaux, edition de contenu"
f,alix,carre,alix.carre@ifrance.com,+33 4 37 98 73 92,costa,météorologie,junior,formation professionnelle - lemoine (2014),simon s.a. | adjoint météorologie | 2019 - 2024 | guyon sarl | adjoint météorologie | 2015 - 2023 | normand s.a.s. | responsable météorologie | 2018 - 2022,"arabe, anglais, chinois","cartes météorologiques, logiciels d'analyse climatique, instruments de mesure météorologique, modèles de prévision"
f,constance,masse,constance.masse@free.fr,+33 3 22 44 77 45,coulonbourg,economie,junior,bts - caron (2013),jacob | directeur economie | 2022 - 2023 | chartier | chargé economie | 2017 - 2018 | joubert | chargé economie | 2020 - 2024,anglais,"rédaction de rapports économiques, analyse de données économiques, statistiques, politiques monétaires et fiscales"
m,matthieu,leconte,matthieu.leconte@wanadoo.fr,05 63 94 02 11,gilles,communication,junior,licence - berger (2022),cohen s.a.s. | chargé communication | 2022 - 2024 | mercier | responsable communication | 2024 - 2024,"allemand, arabe, anglais","outils de communication, maîtrise des réseaux sociaux, edition de contenu, gestion de crise et communication d'urgence"
m,nicolas,david,nicolas.david@laposte.net,+33 (0)2 55 24 49 44,caron,éducation,débutant,école de commerce - lebreton goncalves et fils (2018),hoarau | responsable éducation | 2021 - 2022 | bruneau et fils | chargé éducation | 2021 - 2024 | lelièvre | responsable éducation | 2019 - 2022,"allemand, portugais, français","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,vincent,robert,vincent.robert@gmail.com,0695124654,vincent,logistique,expert,formation professionnelle - david de sousa s.a.r.l. (2024),legrand sarl | directeur logistique | 2018 - 2019,italien,"gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
f,nathalie,perez,nathalie.perez@ifrance.com,0472418627,couturier-sur-bouvier,design,intermédiaire,bts - prévost (2020),laporte | responsable design | 2020 - 2024 | lévy chartier s.a.s. | adjoint design | 2016 - 2019 | grondin et fils | directeur design | 2019 - 2024,"espagnol, italien","illustrator, ui/ux, photoshop, design thinking"
m,arthur,barbier,arthur.barbier@live.com,+33 (0)4 56 59 20 51,sainte théophile-les-bains,finance & comptabilité,senior,école de commerce - boulay (2017),blondel s.a.r.l. | chargé finance & comptabilité | 2015 - 2021,chinois,"comptabilité, analyse financière, audit, gestion de projet, excel"
m,joseph,antoine,joseph.antoine@gmail.com,+33 5 32 94 03 11,de sousa-les-bains,marketing,junior,formation professionnelle - collin (2013),vallée david et fils | directeur marketing | 2016 - 2017 | robin sarl | adjoint marketing | 2019 - 2022,"français, arabe","seo, analytics, community management, stratégie digitale, communication"
m,benoît,leblanc,benoît.leblanc@sfr.fr,+33 (0)3 67 27 14 88,gonzalez-les-bains,assistance virtuelle,débutant,formation professionnelle - lejeune dupuis sarl (2019),riou s.a.s. | directeur assistance virtuelle | 2020 - 2023,"français, arabe, allemand","gestion d'agenda et de calendriers, gestion de projets, traitement d'e-mails, service client"
f,nathalie,robert,nathalie.robert@gmail.com,+33 (0)4 57 95 50 44,berthelot,marketing,expert,bts - delmas s.a. (2019),breton s.a.r.l. | directeur marketing | 2017 - 2019 | lombard s.a. | adjoint marketing | 2019 - 2023,"italien, allemand","community management, analytics, stratégie digitale"
m,jules,girard,jules.girard@sfr.fr,03 58 62 53 98,fouquet,finance & comptabilité,débutant,bts - bigot (2017),samson | directeur finance & comptabilité | 2017 - 2021 | carre vidal s.a. | directeur finance & comptabilité | 2024 - 2024 | noël | adjoint finance & comptabilité | 2022 - 2024,arabe,"comptabilité, gestion de projet, excel, analyse financière, audit"
m,jérôme,fontaine,jérôme.fontaine@live.com,0430574730,dupont-les-bains,finance & comptabilité,senior,dut - pasquier bourdon et fils (2012),marie | directeur finance & comptabilité | 2017 - 2023 | gosselin sa | chargé finance & comptabilité | 2015 - 2021 | moreno | directeur finance & comptabilité | 2019 - 2021,"chinois, anglais","analyse financière, excel, gestion de projet"
m,thibault,bouvet,thibault.bouvet@noos.fr,+33 5 40 29 71 82,fouquet-la-forêt,informatique,expert,école de commerce - pons (2021),lelièvre pichon s.a.r.l. | adjoint informatique | 2015 - 2016,portugais,"machine learning, sql, angularjs"
f,agnès,brunet,agnès.brunet@bouygtel.fr,0495555730,guillet,logistique,junior,dut - baron (2018),denis | directeur logistique | 2021 - 2023 | besson ledoux sa | directeur logistique | 2015 - 2016 | garnier s.a. | responsable logistique | 2016 - 2019,"chinois, allemand, italien","règlementations en transport et logistique, gestion des fournisseurs, chaîne d'approvisionnement, gestion de stocks"
m,philippe,thierry,philippe.thierry@orange.fr,05 56 77 78 97,sainte adèleboeuf,communication,intermédiaire,formation professionnelle - mercier et fils (2020),renault mathieu s.a. | adjoint communication | 2024 - 2024 | rossi | chargé communication | 2016 - 2019 | samson | directeur communication | 2024 - 2024,arabe,"edition de contenu, maîtrise des réseaux sociaux, outils de communication"
m,matthieu,dumas,matthieu.dumas@ifrance.com,01 77 72 45 09,andre,ingénierie,senior,école de commerce - bonneau (2014),perrot | chargé ingénierie | 2015 - 2023 | coste sarl | directeur ingénierie | 2015 - 2020,"anglais, allemand, arabe","descentes, cao, gestion de projet, analyse technique"
f,renée,étienne,renée.étienne@bouygtel.fr,04 26 82 18 88,rémy-sur-daniel,éducation,intermédiaire,formation professionnelle - pruvost (2016),laporte valette s.a.r.l. | chargé éducation | 2022 - 2024,"espagnol, français","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,jacques,foucher,jacques.foucher@sfr.fr,0556477618,sainte julien,météorologie,intermédiaire,doctorat - dumas (2011),besson | adjoint météorologie | 2018 - 2022,espagnol,"logiciels d'analyse climatique, modèles de prévision, cartes météorologiques, instruments de mesure météorologique"
f,hortense,humbert,hortense.humbert@tele2.fr,05 96 43 74 65,dupré,assistance virtuelle,senior,licence - da costa (2015),salmon millet sa | responsable assistance virtuelle | 2020 - 2022 | martineau | adjoint assistance virtuelle | 2020 - 2021,"français, espagnol","service client, gestion d'agenda et de calendriers, gestion de projets"
f,zoé,pierre,zoé.pierre@wanadoo.fr,+33 (0)4 34 05 87 21,noëldan,ingénierie,junior,bts - masse lemaire s.a.s. (2011),rousset | directeur ingénierie | 2019 - 2023 | regnier coste s.a.s. | chargé ingénierie | 2017 - 2018 | blin | adjoint ingénierie | 2021 - 2023,anglais,"cao, gestion de projet, robotique, innovation, mathématiques"
f,noémi,weiss,noémi.weiss@hotmail.fr,0172333554,allain,éducation,intermédiaire,école de commerce - duval (2017),diallo | adjoint éducation | 2019 - 2022 | delannoy | directeur éducation | 2015 - 2015,"anglais, français","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,marcel,brun,marcel.brun@wanadoo.fr,0285501021,pineau-les-bains,météorologie,intermédiaire,bts - faure (2022),roussel s.a.r.l. | chargé météorologie | 2020 - 2024 | denis | directeur météorologie | 2016 - 2018 | menard | adjoint météorologie | 2021 - 2021,chinois,"modèles de prévision, instruments de mesure météorologique, cartes météorologiques"
m,olivier,potier,olivier.potier@laposte.net,+33 (0)1 77 01 97 05,toussaint-sur-mer,informatique,débutant,formation professionnelle - benard et fils (2012),boyer | responsable informatique | 2020 - 2021 | hervé | chargé informatique | 2016 - 2022 | mathieu | directeur informatique | 2020 - 2023,"anglais, arabe, portugais","tensorflow, sql, cloud, cybersécurité, python, flutter"
m,franck,peltier,franck.peltier@wanadoo.fr,06 41 39 90 84,hardyville,commercial,junior,licence - muller legendre s.a. (2016),maillard s.a.r.l. | responsable commercial | 2020 - 2021 | blot s.a. | adjoint commercial | 2019 - 2023 | perrot lopez sarl | directeur commercial | 2023 - 2024,arabe,"relation client, prospection, négociation"
m,raymond,bazin,raymond.bazin@tiscali.fr,0141736068,dubois,design,junior,dut - lebon (2009),baron sa | chargé design | 2016 - 2022,"français, arabe","design thinking, ui/ux, photoshop, illustrator"
m,jean,rousset,jean.rousset@sfr.fr,04 57 97 20 55,joubert-sur-mer,assistance virtuelle,intermédiaire,master - seguin et fils (2019),wagner s.a. | responsable assistance virtuelle | 2020 - 2021,anglais,"gestion de projets, traitement d'e-mails, service client, gestion d'agenda et de calendriers"
f,simone,charpentier,simone.charpentier@dbmail.com,06 37 37 69 07,mendès,logistique,intermédiaire,dut - cousin (2017),hernandez fabre s.a. | chargé logistique | 2017 - 2019 | payet et fils | chargé logistique | 2024 - 2024 | courtois vidal sarl | chargé logistique | 2022 - 2023,"français, allemand","gestion de stocks, règlementations en transport et logistique, gestion des fournisseurs"
